time,low,high,open,close,volume
1516734120,11192.37,11203.69,11193.7,11203.69,0.84989033
1516734060,11182.59,11189.14,11189.14,11189.1,2.56681214
1516734000,11189.24,11194.73,11194.72,11189.24,3.3982568300000007
1516733940,11194.71,11194.72,11194.72,11194.72,3.9218150700000005
1516733880,11175.45,11198.02,11198.02,11194.71,4.6778293799999995
1516733820,11195.0,11200.29,11200.28,11198.03,5.274522050000001
1516733760,11203.39,11250.95,11250.94,11203.39,3.35178303
1516733700,11250.0,11250.95,11250.0,11250.94,4.70188621
1516733640,11249.99,11250.0,11250.0,11250.0,4.823846559999999
1516733580,11234.0,11250.0,11234.0,11249.99,2.8646813000000004
1516733520,11233.99,11234.0,11233.99,11233.99,2.50234485
1516733460,11233.99,11234.0,11234.0,11233.99,3.9436071999999998
1516733400,11229.08,11238.0,11238.0,11233.99,4.407383470000001
1516733340,11208.34,11237.36,11208.34,11233.96,1.3543036800000001
1516733280,11180.0,11210.0,11180.0,11202.49,1.6864407900000002
